tasks,dist,HV_mean,HV_std,PSP,SR,AFE,AST
20,uniform,11963875.228036491,305248.56690356677,0,1.0,22,225.6709007133137
20,nonuniform,12091925.0986806,299233.0535278491,0,1.0,22,315.67911206592214
30,uniform,12078768.480526375,300368.05384554877,0,1.0,22,726.5189382921566
30,nonuniform,12004680.787407948,247566.54588335133,0,1.0,22,905.871266245842
40,uniform,11947429.467467358,316481.6962788814,0,1.0,22,2523.283236557787
40,nonuniform,12019866.653100252,271327.38642896607,0,1.0,22,885.3669618801637
50,uniform,11941483.529642774,320487.5674634926,0,1.0,22,888.6305961934003
50,nonuniform,12044500.614269331,302910.6872968226,0,1.0,22,2521.790535569191
